Name,Latitude,Longitude,IconColor,
Greendale Secondary School ,1.396986,103.9117179, red, 
Punggol Secondary School ,1.4023117,103.9094017, red, 
Anglo-Chinese School (Independent) ,1.3022749,103.7800889, red, 
Fairfield Methodist School (Secondary) ,1.3017398,103.7843791, red, 
New Town Secondary School ,1.3099047,103.7735832, red, 
Queenstown Secondary School ,1.2937571,103.8131968, red, 
Queensway Secondary School ,1.2999771,103.8027537, red, 
Canberra Secondary School ,1.4536825,103.8143043, red, 
Sembawang Secondary School ,1.4455244,103.8169906, red, 
Chij St. Josephs Convent ,1.3912359,103.902074, red, 
Compassvale Secondary School ,1.3961911,103.899843, red, 
Nan Chiau High School ,1.389345,103.88913, red, 
North Vista Secondary School ,1.3809977,103.89925, red, 
Pei Hwa Secondary School ,1.3906452,103.8784603, red, 
Sengkang Secondary School ,1.3858413,103.8983695, red, 
Peicai Secondary School ,1.3587,103.870667, red, 
Serangoon Garden Secondary School ,1.3697258,103.8689858, red, 
St Gabriel's Secondary School ,1.3467554,103.8757594, red, 
Zhonghua Secondary School ,1.3493696,103.869247, red, 
Changkat Changi Secondary School ,1.3402554,103.9527441, red, 
Dunman Secondary School ,1.3610555,103.9559258, red, 
East Spring Secondary School ,1.3568208,103.9607517, red, 
East View Secondary School ,1.35813,103.9493416, red, 
Junyuan Secondary School ,1.3533854,103.93347, red, 
Ngee Ann Secondary School ,1.3542893,103.9568201, red, 
Pasir Ris Secondary School ,1.354757,103.948533, red, 
Springfield Secondary School ,1.3497399,103.9300355, red, 
St. Hilda's Secondary School ,1.350299,103.93705, red, 
Tampines Secondary School ,1.3487119,103.9444848, red, 
Bartley Secondary School ,1.3401678,103.8826997, red, 
Beatty Secondary School ,1.34154,103.851956, red, 
Cedar Girls' Secondary School ,1.3341801,103.8742152, red, 
CHIJ Secondary (Toa Payoh) ,1.3323048,103.8428056, red, 
Maris Stella High School ,1.34224,103.878278, red, 
St Andrew's Secondary School ,1.3312299,103.8661898, red, 
Admiralty Secondary School ,1.4462741,103.8023197, red, 
Christ Church Secondary School ,1.4260255,103.7925853, red, 
Evergreen Secondary School ,1.4415383,103.7936114, red, 
Fuchun Secondary School ,1.430948,103.777326, red, 
Marsiling Secondary School ,1.4386007,103.7763391, red, 
Riverside Secondary School ,1.440706,103.788827, red, 
Si Ling Secondary School ,1.4450999,103.7748043, red, 
Woodgrove Secondary School ,1.4284072,103.7973754, red, 
Woodlands Ring Secondary School ,1.4358584,103.8010378, red, 
Woodlands Secondary School ,1.4399817,103.774358, red, 
Ahmad Ibrahim Secondary School ,1.436316,103.8299037, red, 
Chung Cheng High School (Main) ,1.3054121,103.8915495, red, 
Naval Base Secondary School ,1.4189428,103.8306832, red, 
North View Secondary School ,1.4273857,103.8444982, red, 
Northbrooks Secondary School ,1.4212828,103.8450054, red, 
Northland Secondary School ,1.4358518,103.8402646, red, 
Orchid Park Secondary School ,1.4155552,103.8380755, red, 
Yishun Secondary School ,1.4279256,103.8289941, red, 
Yishun Town Secondary School ,1.4325649,103.8380251, red, 
Yishun Town Secondary School ,1.4325649,103.8380251, red, 
